product_id,brand,category,sub_category,price_bucket,price,intrinsic_quality,brand_strength,review_count,rating,num_purchases,color,size,delivery_days
47,Levis,Clothing,Tshirts,price_mid,2120,0.44455894651761496,0.10658729656353894,44,2.764811366300926,2231,Green,XXL,4
48,Adidas,Clothing,Dresses,price_mid,2360,0.775784467413811,0.6675777325863531,10,4.091906309536885,1185,Purple,XL,5
49,SwissBeauty,Cosmetics,Foundation,price_high,3270,0.7897653972748112,0.1591579075429993,61,4.161703649196412,4880,White,Medium,7
50,Levis,Clothing,Kurtis,price_mid,1940,0.2666295996120918,0.2745974469175383,33,2.0903405025273876,1573,Pink,M,3
51,Zara,Clothing,Tshirts,price_low,530,0.6255708572814719,0.152805266577148,14,3.5297665656579698,530,Black,XL,3
52,Puma,Footwear,Sneakers,price_mid,4660,0.47030066898826073,0.5840794142042252,9,2.8622910383574216,341,Black,UK10,1
53,Adidas,Accessories,Watches,price_high,11300,0.6296841501788776,0.5382205676102315,92,3.5309062458771927,3298,Yellow,Medium,2
54,Libas,Clothing,Shirts,price_mid,1760,0.8143031813815614,0.7241813776272887,108,4.254806134152866,5000,Green,XXL,5
55,Libas,Clothing,Jeans,price_low,490,0.20458895673031763,0.13569948723056424,41,1.81581624214694,1559,Red,L,4
56,Libas,Clothing,Shirts,price_high,4100,0.6927273298306156,0.9512041198605617,59,3.748822162754237,2724,Blue,XL,1
57,MAC,Cosmetics,Sunscreen,price_low,220,0.11541745533606214,0.9572856027763683,16,1.4285633276514649,1520,Red,Small,2
58,Maybelline,Cosmetics,Lipstick,price_mid,730,0.4544411547685091,0.9477570222166518,30,2.8047348664830425,2558,Pink,Medium,2
59,Zara,Footwear,Sandals,price_mid,2880,0.6418609479636455,0.31103891959859986,8,3.602553013967693,315,Pink,UK12,6
60,Adidas,Accessories,Belts,price_low,540,0.28628015855588745,0.8305716337803184,39,2.122557878675246,1779,Pink,Large,5
61,SwissBeauty,Cosmetics,Moisturizer,price_low,230,0.4867709058843019,0.6615213406873559,5,2.8902488359151803,168,Purple,Small,7
62,Puma,Footwear,Sports Shoes,price_low,1390,0.4751890240318844,0.4597393476017463,3,,0,Green,UK12,6
63,H&M,Clothing,Jeans,price_mid,1510,0.3572125783820022,0.7310262143051223,38,2.454782861014438,2261,Yellow,S,3
64,Puma,Accessories,Watches,price_mid,1870,0.20313306133598977,0.02869999777008958,25,1.7853867552047233,2142,Green,Medium,2
65,Nike,Footwear,Sports Shoes,price_mid,4970,0.5487015051560366,0.5557910279195838,8,3.2508951819115683,119,Yellow,UK4,2
66,Maybelline,Cosmetics,Moisturizer,price_mid,1160,0.5902089695660299,0.49082133507858616,101,3.36368616983666,3527,Blue,Medium,2
67,Nike,Footwear,Sandals,price_low,1230,0.5709746078719019,0.34375739414620254,59,3.2978432001579403,2741,Brown,UK8,3
68,MAC,Cosmetics,Lipstick,price_low,280,0.4298992027905081,0.11955474125505283,27,2.6966360114467385,1282,Green,Small,2
69,MAC,Cosmetics,Moisturizer,price_mid,1660,0.36923985122006986,0.9805106304625131,11,2.5287625688072786,694,Pink,Small,3
70,Nike,Clothing,Jeans,price_low,800,0.4549580432612652,0.5533589667986083,18,2.847670242175574,801,Green,XL,1
71,H&M,Accessories,Watches,price_mid,1330,0.49069998873453413,0.051376717183577836,36,2.9749987591659455,2147,White,Small,7
72,Libas,Clothing,Jeans,price_mid,1140,0.7650976987853094,0.8111420762750475,98,4.062150596480311,3561,Blue,M,1
73,Puma,Footwear,Sandals,price_mid,4210,0.4261729434360558,0.38037802614654936,37,2.7043908332703355,2471,Pink,UK12,4
74,Levis,Clothing,Jeans,price_mid,2450,0.36358684117162027,0.20778790582355133,16,2.4805932332605503,1452,Blue,M,2
75,Nike,Clothing,Tshirts,price_mid,2080,0.33407272150460854,0.2912592890310276,39,2.318949096327754,1653,Pink,XL,1
76,SwissBeauty,Cosmetics,Sunscreen,price_mid,1040,0.4987592491171114,0.9336684584455133,62,2.9870372207333356,2163,Brown,Small,6
77,Adidas,Clothing,Tshirts,price_low,730,0.4385022040455533,0.5950440373194047,82,2.770446500643669,3939,Pink,XL,1
78,Puma,Footwear,Sports Shoes,price_low,1120,0.25696279185232984,0.437758863571598,13,1.9839463102917612,1595,Black,UK8,5
79,Nike,Clothing,Dresses,price_mid,2060,0.5234900781482977,0.9507862778063524,74,3.088348141564185,5000,Pink,XXL,1
80,MAC,Cosmetics,Foundation,price_mid,1320,0.28661334110279596,0.9969454749325635,2,,88,White,Small,4
81,Adidas,Clothing,Kurtis,price_high,5680,0.8061883030129134,0.6936736739834325,81,4.243190807654681,4082,Black,XXL,1
82,Puma,Footwear,Sports Shoes,price_high,10440,0.9687205377506568,0.5145962523291051,57,4.893988902070224,2917,Brown,UK10,4
83,Libas,Clothing,Jeans,price_mid,1440,0.2595777648397962,0.05161177518634674,9,1.976517681738931,901,Green,L,4
84,H&M,Accessories,Bags,price_mid,2160,0.8842865059493366,0.7097828251002591,53,4.518203466099039,2910,Red,Large,4
85,Zara,Clothing,Dresses,price_mid,1390,0.5824136409001703,0.8321431737689012,21,3.359313766815204,610,Pink,XXL,6
86,H&M,Clothing,Dresses,price_low,490,0.1844444378058947,0.3835860132471499,7,1.6891782722625241,344,Brown,M,7
87,H&M,Clothing,Dresses,price_low,570,0.09305600909804988,0.2671726630669048,30,1.3460123606958667,856,Pink,XXL,5
88,H&M,Accessories,Bags,price_mid,1570,0.34008534283905373,0.551917417070811,75,2.3697612398380072,2675,White,Medium,7
89,Levis,Clothing,Jeans,price_low,660,0.27198114279570174,0.04364729909730192,30,2.091725559850431,1386,Black,XL,6
90,Maybelline,Cosmetics,Lipstick,price_high,2770,0.631362185529876,0.9653535901768537,16,3.5179700925664275,463,Blue,Medium,1
91,Puma,Footwear,Sandals,price_mid,3900,0.669964926664418,0.15436121877154885,127,3.686361682155146,4445,Pink,UK8,5
92,Maybelline,Cosmetics,Sunscreen,price_high,4820,0.5522280312443522,0.38000939752265506,3,,320,White,Large,1
93,Nike,Footwear,Sandals,price_low,1000,0.31464905700713364,0.09037933076896865,15,2.2487207919728016,523,Blue,UK10,2
94,SwissBeauty,Cosmetics,Lipstick,price_mid,810,0.25957920495600784,0.37484108977531483,1,,123,Brown,Medium,5
95,MAC,Cosmetics,Lipstick,price_mid,1450,0.5846960478589363,0.6831345799627139,66,3.31570124467512,2788,Green,Small,4
96,Puma,Footwear,Sandals,price_high,10810,0.942265528331192,0.2876316657484388,46,4.760306429703643,2469,Blue,UK10,3
97,Adidas,Accessories,Belts,price_mid,2160,0.7922829280284841,0.3021216705383136,0,,0,White,Small,2
98,Puma,Footwear,Sports Shoes,price_mid,2050,0.1226246654508235,0.830037561492844,10,1.5376729932130857,693,Red,UK12,7
99,SwissBeauty,Cosmetics,Lipstick,price_mid,940,0.5264221873445524,0.9041552908937254,89,3.0866764496051005,3800,Yellow,Large,7
100,Adidas,Footwear,Sandals,price_mid,4430,0.4338027935146028,0.6591815403167537,33,2.7211003701489385,2925,Blue,UK4,3
101,MAC,Cosmetics,Foundation,price_low,500,0.23947149582705957,0.3267191257140104,38,1.9618232395648292,1735,Yellow,Small,7
102,Zara,Footwear,Sports Shoes,price_high,13900,0.8185791544862595,0.2569700845632623,71,4.28560793240345,3341,White,UK8,6
103,Zara,Accessories,Watches,price_low,580,0.4009289838479331,0.22561469569907033,0,,0,Black,Large,3
104,Libas,Clothing,Shirts,price_low,410,0.31191278311867726,0.7490116035367608,9,2.1814306474137726,297,Black,L,1
105,Maybelline,Cosmetics,Moisturizer,price_high,3420,0.551439744560551,0.610082195858413,32,3.1792027032427663,2684,White,Large,3
106,Nike,Footwear,Sneakers,price_low,1500,0.30967286903580743,0.1161204807251095,43,2.218380737267131,2139,Brown,UK6,4
107,Adidas,Footwear,Sandals,price_high,11490,0.6432237282540725,0.7422690147653158,6,3.6261640800752746,76,Black,UK4,7
108,Puma,Footwear,Boots,price_low,1020,0.7302897141941352,0.44338308606070165,71,3.9447205445778546,3523,Purple,UK4,6
109,Zara,Footwear,Sandals,price_low,1000,0.20396448488808414,0.9682068759363868,14,1.790799530063552,797,White,UK4,6
110,Levis,Clothing,Dresses,price_low,490,0.18239933979447023,0.9888209039414217,31,1.7456483339770388,1937,Yellow,S,7
111,MAC,Cosmetics,Lipstick,price_high,5030,0.8335456605607756,0.1475541799414437,85,4.3412160487571665,3010,Red,Medium,7
112,Levis,Accessories,Watches,price_mid,1360,0.47332959289644466,0.866447888506801,104,2.9065371218755267,3719,Purple,Small,5
113,Puma,Clothing,Tshirts,price_mid,1840,0.451568469335419,0.7456652750339957,5,2.776779041334907,339,Purple,XXL,5
114,Libas,Clothing,Dresses,price_low,540,0.5061625150180256,0.8669809077598383,21,3.029873699901965,1946,White,S,1
115,Levis,Accessories,Watches,price_low,540,0.2705284914618604,0.44356232936300866,14,2.039620468349314,416,Purple,Large,2
116,Adidas,Clothing,Jeans,price_mid,1780,0.5988412462014339,0.9946277558609236,42,3.4182967343351467,2116,White,XXL,5
117,H&M,Footwear,Sneakers,price_mid,3930,0.47496652682782303,0.5513352283897989,0,,68,Black,UK10,2
118,H&M,Footwear,Sports Shoes,price_mid,2740,0.432757344699239,0.3125235711418678,11,2.697352926998944,342,Green,UK10,1
119,Nike,Clothing,Shirts,price_mid,1840,0.18515607711317186,0.13011545357384335,21,1.78117097942478,608,Brown,XXL,3
120,Maybelline,Cosmetics,Sunscreen,price_high,3650,0.9714103717356086,0.9158436709721437,38,4.877110349597479,3464,Pink,Large,3
121,Adidas,Footwear,Sneakers,price_mid,3210,0.3399801390706413,0.10821838192726663,77,2.3379426616160335,3994,Purple,UK4,7
122,Adidas,Clothing,Shirts,price_mid,2300,0.4214089348814076,0.6217238054690754,7,2.647467368471128,257,Brown,S,5
123,Zara,Accessories,Bags,price_low,560,0.33658922618408293,0.30898468882991015,30,2.3106907118143947,1890,Red,Small,7
124,Levis,Clothing,Tshirts,price_mid,2500,0.4979589558990506,0.09175768305444532,7,3.029505522643015,148,Black,XL,4
125,Libas,Clothing,Kurtis,price_mid,1540,0.10467849001771096,0.0849570399771793,5,1.3449892781734742,262,Green,XXL,1
126,MAC,Cosmetics,Moisturizer,price_mid,1510,0.5170829990213511,0.27316684436476946,31,3.0781334345553537,2615,Blue,Medium,4
127,Levis,Clothing,Jeans,price_mid,1610,0.4468096131769189,0.2205184355025246,121,2.7866711235285497,4647,Red,S,2
128,Puma,Clothing,Tshirts,price_low,490,0.09172457675265218,0.0077299065693119395,2,,598,Green,M,4
129,Nike,Footwear,Sandals,price_mid,3570,0.7946079475253216,0.3970711742472973,36,4.16725276512496,3341,Black,UK4,4
130,Levis,Accessories,Watches,price_mid,2340,0.5557101268902402,0.41769395984348057,2,,128,Red,Medium,2
131,Maybelline,Cosmetics,Sunscreen,price_high,2590,0.5928853967146545,0.8444843598146969,54,3.3723034254061472,2639,Black,Large,1
132,Puma,Footwear,Sports Shoes,price_low,870,0.46631261941812086,0.5104832845421483,33,2.8939637755152847,2028,Brown,UK6,7
133,H&M,Clothing,Kurtis,price_mid,1320,0.26347118755936827,0.14644421827769438,2,,370,Green,S,2
134,Zara,Accessories,Watches,price_mid,2240,0.634733217439701,0.6811334783148337,9,3.5513263166167945,509,Purple,Large,3
135,Nike,Clothing,Shirts,price_low,510,0.22925004737328422,0.05617212021307805,25,1.895962418061804,1205,Pink,XL,4
136,Libas,Clothing,Shirts,price_mid,2090,0.5099732686308556,0.0902965040133028,37,3.047596481389663,2145,Black,XL,5
137,H&M,Footwear,Flats,price_mid,3720,0.6849200926985667,0.6518374546486099,72,3.7371521645452557,2739,White,UK12,2
138,H&M,Accessories,Caps,price_mid,2640,0.25686176399521443,0.08432913202456382,56,2.007247981243243,2134,Red,Small,6
139,Puma,Footwear,Sports Shoes,price_low,1020,0.671438327239476,0.2828935786144179,0,,69,Purple,UK12,1
140,Maybelline,Cosmetics,Lipstick,price_low,290,0.28826800255980006,0.2841469738781137,38,2.129239389912024,2046,Green,Medium,1
141,Nike,Footwear,Sports Shoes,price_high,13340,0.7570938683296737,0.39195798433536033,14,4.002216640483116,614,Blue,UK8,5
142,H&M,Footwear,Flats,price_mid,3780,0.5261599290147034,0.7387746721294828,9,3.162099542126411,675,Brown,UK4,6
143,Maybelline,Cosmetics,Lipstick,price_low,370,0.49567712832739347,0.34173234513154815,35,2.9704106097619256,2594,Yellow,Small,2
144,Adidas,Clothing,Kurtis,price_mid,2020,0.6338029331603117,0.7386440030014676,84,3.5482093858687294,3109,Purple,XXL,2
145,Nike,Footwear,Sneakers,price_mid,4180,0.4415488707871072,0.9026559827144381,3,,89,Red,UK10,3
146,MAC,Cosmetics,Foundation,price_low,450,0.15841991941904132,0.44892796303334037,27,1.6428780488007269,1146,Pink,Medium,7
147,Levis,Clothing,Jeans,price_mid,2120,0.5164207555928423,0.778124037249926,18,3.0681931380500114,1816,Black,M,7
148,Levis,Clothing,Dresses,price_low,540,0.6425145595532968,0.3712121066044326,33,3.53576931804144,3510,Brown,S,3
149,Puma,Clothing,Shirts,price_mid,2210,0.45344688852040027,0.09171356965909339,7,2.8315294721405215,735,White,L,1
150,Puma,Footwear,Sports Shoes,price_low,770,0.31858517948890097,0.22453875860711592,10,2.2265126715540213,718,Blue,UK8,7
151,Nike,Clothing,Dresses,price_mid,2410,0.6868416760950193,0.7588411547656072,42,3.746351119647047,2424,Red,S,1
152,H&M,Clothing,Jeans,price_mid,1590,0.6675397398316627,0.11118686032423841,62,3.685081161848191,2995,Pink,S,1
153,Levis,Clothing,Jeans,price_low,690,0.3804922528967388,0.4998292222376096,38,2.544756206650988,2207,Brown,XXL,2
154,MAC,Cosmetics,Lipstick,price_low,390,0.11279997762858968,0.18731391179838253,38,1.4328195616427355,1368,Brown,Medium,1
155,H&M,Accessories,Caps,price_mid,890,0.5899523081782297,0.8733314385275176,47,3.33890820269592,2278,Black,Medium,3
156,Maybelline,Cosmetics,Lipstick,price_low,280,0.15828549493696936,0.10366386749968948,43,1.608992894756922,1569,Purple,Small,1
157,Puma,Footwear,Sandals,price_mid,3970,0.8487816738009492,0.9808191857888493,8,4.374620076115129,649,Green,UK6,1
158,SwissBeauty,Cosmetics,Lipstick,price_low,280,0.5110221622192486,0.8857903856181051,9,3.0081992074308626,336,Pink,Large,4
159,H&M,Accessories,Bags,price_mid,1340,0.7251915300244671,0.3569741760353634,90,3.908777429718734,3201,Purple,Medium,1
160,Maybelline,Cosmetics,Foundation,price_mid,1510,0.7546203166498774,0.3390366284081606,58,4.0131930794231785,2149,White,Medium,7
161,H&M,Footwear,Sandals,price_low,1000,0.24704463102711463,0.8223412795398867,36,1.9654654588163905,1640,Purple,UK4,1
162,Adidas,Clothing,Shirts,price_mid,1550,0.5920734103113728,0.443908381101094,8,3.4210914182795875,225,Purple,XXL,4
163,Zara,Clothing,Dresses,price_low,630,0.45792620443619597,0.3633111306509823,37,2.8238546538806646,2725,Green,S,2
164,Maybelline,Cosmetics,Foundation,price_low,200,0.33727790021397425,0.645162875699464,26,2.354841441954653,1460,Red,Large,2
165,SwissBeauty,Cosmetics,Foundation,price_mid,980,0.4179466222091989,0.5294598815362896,38,2.671952997865048,1654,Pink,Small,1
166,Puma,Clothing,Jeans,price_high,4220,0.6763928134120795,0.7749644835314882,8,3.6521189381095858,461,Yellow,XXL,3
167,SwissBeauty,Cosmetics,Lipstick,price_low,130,0.40340075523802466,0.17265636398404105,56,2.5950029669705996,2413,Blue,Large,7
168,Zara,Accessories,Caps,price_mid,1810,0.39750949420579723,0.2999566782367382,16,2.618307580897604,1550,Green,Medium,5
169,Zara,Clothing,Kurtis,price_low,570,0.24135795387565892,0.36089652444438214,26,1.9751510045319276,1261,White,XXL,2
170,Nike,Footwear,Sports Shoes,price_high,13500,0.24569070364748175,0.5256956548303001,42,1.9628198562218797,2061,Blue,UK6,3
171,Puma,Footwear,Sandals,price_low,1380,0.394797041261165,0.7802629288383084,43,2.5618156421043508,3338,Green,UK6,4
172,H&M,Footwear,Flats,price_mid,2720,0.41467361429158417,0.16196695955589968,30,2.685325486846868,2639,Yellow,UK8,5
173,Levis,Accessories,Bags,price_mid,2100,0.7844997456292707,0.1251702951269027,105,4.149198543940112,3584,Brown,Small,5
174,Adidas,Footwear,Sandals,price_low,1280,0.6543243743645515,0.9020008936907269,78,3.624514808914785,3973,Red,UK4,1
175,Levis,Clothing,Jeans,price_mid,2110,0.4283034325732783,0.4165867836632462,56,2.6890442709939144,1903,White,XXL,3
176,Puma,Footwear,Sneakers,price_mid,3380,0.5673579385778129,0.45354413295517126,80,3.2892126998873232,2524,Green,UK10,4
177,Nike,Footwear,Sandals,price_low,1350,0.1335211578064712,0.7341997548045468,30,1.5682522972045216,3280,Black,UK6,7
178,Adidas,Footwear,Sports Shoes,price_mid,3340,0.7424339249001304,0.24791888252554561,0,,177,Pink,UK10,7
179,Nike,Footwear,Flats,price_low,1090,0.25059740623855625,0.5776870378935964,11,2.0048943571017515,310,Green,UK10,5
180,H&M,Footwear,Sports Shoes,price_low,900,0.12490120813042904,0.45723064218973086,20,1.5097064558740443,1099,Purple,UK4,1
181,Levis,Clothing,Dresses,price_mid,1590,0.5089604893117147,0.008177405947240923,5,2.9915214835725896,0,Green,L,6
182,Puma,Footwear,Sneakers,price_low,1140,0.15088534686732005,0.36252377594428453,22,1.5838698944921494,1197,Black,UK12,4
183,MAC,Cosmetics,Sunscreen,price_mid,1080,0.6745430717874813,0.975082815413784,24,3.7171804536835586,985,Purple,Large,3
184,MAC,Cosmetics,Foundation,price_mid,910,0.636344107788109,0.1370363735675204,45,3.525107019639851,1844,White,Large,4
185,Zara,Clothing,Tshirts,price_high,5400,0.7163878770052919,0.3929545878664831,107,3.858240231925784,3798,Pink,XXL,3
186,Adidas,Footwear,Sports Shoes,price_mid,3850,0.523589640539324,0.01663695550231492,52,3.1128123543200066,1784,Blue,UK10,5
187,Zara,Clothing,Dresses,price_mid,2000,0.45542313968793896,0.2655304369857213,36,2.840385877161574,1955,Yellow,S,5
188,Adidas,Footwear,Sandals,price_mid,3630,0.483235608708844,0.8216612911278522,0,,0,Blue,UK6,1
189,Puma,Footwear,Sports Shoes,price_low,1100,0.08669884922270801,0.6114780598917674,49,1.3336422951838727,1961,Red,UK6,5
190,Adidas,Clothing,Kurtis,price_mid,1770,0.3281887838030729,0.17318242385732774,59,2.309640964279597,2287,Purple,XXL,3
191,SwissBeauty,Cosmetics,Moisturizer,price_mid,780,0.5797395454115596,0.48418010169464465,20,3.3317096007416986,525,Pink,Large,3
192,Zara,Clothing,Shirts,price_low,450,0.7333666790332454,0.7049882597401967,82,3.920344640024965,3112,Purple,XXL,7
193,MAC,Cosmetics,Moisturizer,price_mid,2000,0.5450978049333862,0.39453245564086326,67,3.1769537044927705,2403,Green,Medium,1
194,H&M,Clothing,Shirts,price_mid,1340,0.6557573773521469,0.4790792630164832,1,,84,Brown,L,5
195,MAC,Cosmetics,Moisturizer,price_mid,1280,0.5159500321180842,0.669833964893104,6,2.989432788422226,793,Yellow,Small,1
196,Adidas,Footwear,Sneakers,price_mid,2010,0.7223608751159762,0.5503525657796167,49,3.8627928490458068,4365,Black,UK10,4
197,SwissBeauty,Cosmetics,Foundation,price_low,130,0.48676257930319855,0.7687249935378188,113,2.9634874374453233,3829,Yellow,Large,6
198,SwissBeauty,Cosmetics,Sunscreen,price_low,300,0.36789540409393845,0.17578870753886255,75,2.4641113092018125,3200,Black,Medium,2
199,Levis,Accessories,Belts,price_high,3970,0.7810932920063305,0.5679618686644954,10,4.130078616200078,667,Purple,Medium,4
200,H&M,Accessories,Watches,price_high,9070,0.984296094874414,0.4680207690062901,44,4.947085283270846,2570,Blue,Medium,2
201,Maybelline,Cosmetics,Moisturizer,price_low,220,0.29457029810899804,0.295024257658282,43,2.1509507998880317,1648,Yellow,Small,5
202,Levis,Accessories,Belts,price_mid,1300,0.3186788855130564,0.6692558534099542,16,2.2906784786917,1962,Green,Medium,3
203,Nike,Accessories,Watches,price_mid,1850,0.5332249692218509,0.32962530331273254,23,3.167031201465619,2096,Red,Medium,6
204,Nike,Footwear,Sandals,price_mid,2990,0.1654549952102529,0.6860736198911105,54,1.6397221053270434,4116,Pink,UK4,6
205,Adidas,Accessories,Caps,price_low,350,0.6122812445450676,0.1531855646891792,35,3.462370176037705,1889,Purple,Medium,6
206,Puma,Footwear,Sports Shoes,price_mid,2920,0.2699356095147892,0.24746542930857773,2,,422,Blue,UK12,4
207,Puma,Footwear,Boots,price_low,1330,0.2810503465537863,0.9028881602398087,25,2.109774732810389,1789,Brown,UK6,2
208,Levis,Clothing,Tshirts,price_low,580,0.2789311430591196,0.09094164445168784,33,2.0817869160552567,1956,Red,XL,2
209,Puma,Footwear,Sneakers,price_mid,4300,0.34933365795786314,0.7232800798250023,20,2.400983336199659,623,Red,UK6,5
210,Libas,Clothing,Kurtis,price_mid,990,0.21122810954131993,0.8942184453384514,75,1.8460872264536854,2671,White,S,3
211,Adidas,Footwear,Flats,price_high,12950,0.7414802614315947,0.42036193888232787,81,3.9726387161655645,4141,Black,UK10,7
212,Adidas,Accessories,Bags,price_high,11700,0.35278592929577174,0.13298980633567337,42,2.3805186458237255,3621,Blue,Small,5
213,Nike,Footwear,Boots,price_mid,4530,0.2849502489930046,0.978490682679139,9,2.1138424195315824,381,Brown,UK10,5
214,Nike,Footwear,Sports Shoes,price_low,970,0.6680184074267133,0.8752081746237274,66,3.680479907639188,4021,Red,UK10,5
215,SwissBeauty,Cosmetics,Lipstick,price_low,140,0.15098372103176072,0.03357627575428079,44,1.6026727614439156,2253,Red,Small,6
216,Libas,Clothing,Jeans,price_mid,1740,0.5401934324984723,0.1401355751149046,19,3.204986610310795,633,Yellow,XXL,3
